Created time,Last edited by,Etapa,Actividad,Encargado,Subpractica,Property
"May 25, 2022 3:45 PM",Felipe Gabriel Yépez Villacreses,Análisis,"Se selecciona una Historia de Usuario según tenga mayor prioridad, se discute lo que implica realizarla.",Product Owner,RM 1.1,Felipe Gabriel Yépez Villacreses
"May 25, 2022 3:45 PM",Felipe Gabriel Yépez Villacreses,Análisis,Cada integrante vota por un AP según la tabla de complejidad en el WBS.,Todos los miembros,RM 1.1,Felipe Gabriel Yépez Villacreses
"June 5, 2022 7:05 PM",Felipe Gabriel Yépez Villacreses,Análisis,Se le asigna como complejidad a la historia de usuario el promedio de APs resultante del equipo.,Product Owner,RM 1.1,Felipe Gabriel Yépez Villacreses
"June 5, 2022 7:13 PM",Felipe Gabriel Yépez Villacreses,Análisis,A partir del WBS actualizado con tiempos reales se asigna el costo estimado según complejidad resultante.,Product Owner,"RM 1.1, PP 1.2",Felipe Gabriel Yépez Villacreses
"June 5, 2022 7:19 PM",Felipe Gabriel Yépez Villacreses,Análisis,Llenar plan de trabajo con complejidad y costo estimado.,Team Leader,"RM 1.1, PP 1.2",Felipe Gabriel Yépez Villacreses
