Created time,Last edited by,Etapa,Actividad,Encargado,Subpractica,Property
"May 19, 2022 6:17 PM",Pau,Observación,"Se preparará un documento el cuál deberá contener la fecha, asistentes y temas que se tocarán en la junta. Se puede utilizar la plantilla https://www.notion.so/56a39b3d9fb14aa8bd630e7836d8fafb ",Team Leader,- PP sp3.3,Paola Adriana Millares Forno
"May 19, 2022 6:21 PM",Paola Adriana Millares Forno,,"Se toman notas durante la reunión ",Team Leader,- PP sp3.3,Paola Adriana Millares Forno
"May 19, 2022 6:22 PM",Paola Adriana Millares Forno,,Se generan acuerdos en la junta o peticiones para siguientes interacciones,"Product Owner
Team Leader",- PP sp3.3,Paola Adriana Millares Forno
"May 19, 2022 6:23 PM",Paola Adriana Millares Forno,,"Se crea un nuevo log en https://www.notion.so/c2c879c63b17431aaef027b787db8387 ",Team Leader,- PP sp3.3,Paola Adriana Millares Forno
