Versión,Cambios,Revisado,Fecha de  versión,Quien hizo el cambio,Revisado por,Cuando fue Revisado
1.0,Creación de Línea Base,No,"May 7, 2022 12:55 AM",Cutberto Arizabalo Nava,Cutberto Arizabalo Nava,"May 7, 2022 12:55 AM"
1.1,Modificación para implementación de checklist en el proceso,No,"May 25, 2022 11:53 AM",Cutberto Arizabalo Nava,Cutberto Arizabalo Nava,"May 25, 2022 11:53 AM"
