Created time,Last edited by,Etapa,Actividad,Encargado,Subpractica,Property
"May 5, 2022 2:08 PM",Pau,Construccion,"Utilizar la https://www.notion.so/afe79d22a53b40d3bb2885218d181405 correspondiente a lo que se quiera crear (Proceso, plantilla, etc.)",Miembro de Ace que creó el ítem,,Jorge Alan Ramírez Elías
"May 5, 2022 2:09 PM",Pau,,"Seguir el estándar de nombramiento para el ítem que se quiere crear/modificar https://www.notion.so/81ed479aea0d45db89846463687d2a6f ",Miembro de Ace que creó el ítem,,Jorge Alan Ramírez Elías
"June 7, 2022 12:54 PM",Pau,,"Cualquier cambio en la ../../../Wiki%204abacc0cd1bc4933b885625597ed9fd1.md deberá ser registrado en la https://www.notion.so/8ef56009a3d545a1a998b4d596eaddb2 y anunciado en el canal de Discord llamado cambios-a-la-wiki, siguiendo el ../P20_Creacio%CC%81n%20o%20modificacio%CC%81n%20de%20i%CC%81tem%20de%20la%20wiki%201c63004a533c4261979129dee36c2501.md de creación/modificación de item en la wiki.","Cualquier cambio en la ../../../Wiki%204abacc0cd1bc4933b885625597ed9fd1.md deberá ser registrado en la https://www.notion.so/8ef56009a3d545a1a998b4d596eaddb2 y anunciado en el canal de Discord llamado cambios-a-la-wiki, siguiendo el ../P20_Creacio%CC%81n%20o%20modificacio%CC%81n%20de%20i%CC%81tem%20de%20la%20wiki%201c63004a533c4261979129dee36c2501.md de creación/modificación de item en la wiki.",,Pau
"June 7, 2022 12:54 PM",Pau,Despliegue,"Se registra la creación o modificación (en versión) del ítem en la https://www.notion.so/8ef56009a3d545a1a998b4d596eaddb2. Se pone el nivel en Dinámico hasta que alguien realice https://www.notion.so/386d7b5b7b17435eb70e22f8f6ee7f08 en el nuevo ítem. ",Miembro de Ace que creó el ítem,,Pau
"May 5, 2022 2:08 PM",Pau,,"En caso de creación, publicar la creación de un nuevo ítem de la wiki en el canal #cambios-a-la-wiki en el discord de la clase. ",Miembro de Ace que creó el ítem,,Jorge Alan Ramírez Elías
"June 4, 2022 10:49 AM",Pau,,"En caso de modificación, registrar en la bitácora de cambios la modificación y notificar por Discord al responsable del proceso para auditar al ítem, siguiendo el https://www.notion.so/386d7b5b7b17435eb70e22f8f6ee7f08 ",Miembro de Ace que creó el ítem,,Rafael Hinojosa López
