Created time,Last edited by,Etapa,Actividad,Encargado,Subpractica,Property
"May 19, 2022 3:22 PM",Pau,Evaluación constante,Asegurarse de estar en un entorno alejado y en confianza,,,Pau
"May 19, 2022 3:22 PM",Pau,,"Platicar con el atendido sobre las expectativas que tiene, cómo siente el ambiente",,,Pau
