Created time,Last edited by,Etapa,Actividad,Encargado,Subpractica,Property
"May 6, 2022 10:28 AM",Jorge Alan Ramírez Elías,Nombramiento,Crear un pull request con el mismo nombre que la rama,Miembro de ACE creando la rama,,Jorge Alan Ramírez Elías
"May 6, 2022 10:28 AM",Jorge Alan Ramírez Elías,Descripcion,Poner una breve descripción de la funcionalidad implementada,Miembro de ACE creando la rama,,Jorge Alan Ramírez Elías
"May 6, 2022 10:31 AM",Jorge Alan Ramírez Elías,Facilitar la validacion,Escribir los casos de prueba diseñados previo a la implementación,Miembro de ACE creando la rama,,Jorge Alan Ramírez Elías
"May 6, 2022 10:32 AM",Jorge Alan Ramírez Elías,,Poner Link al item de trabajo en jira o excel dependiendo donde este tu plan de trabajo,Miembro de ACE creando la rama,,Jorge Alan Ramírez Elías
"May 6, 2022 10:33 AM",Jorge Alan Ramírez Elías,,"• Copiar y pegar checklist de codigo :
    ◦ https://www.notion.so/9f84d98979934903a0134a838d083f0d",Miembro de ACE creando la rama,,Jorge Alan Ramírez Elías
"May 6, 2022 10:34 AM",Jorge Alan Ramírez Elías,,Indicar donde se documenta la nueva funcionalidad,Miembro de ACE creando la rama,,Jorge Alan Ramírez Elías
"May 6, 2022 10:34 AM",Jorge Alan Ramírez Elías,Envío,Enviar pull request,Miembro de ACE creando la rama,,Jorge Alan Ramírez Elías
