Versión,Cambios,Revisado,Fecha de  versión,Quien hizo el cambio,Revisado por,Cuando fue Revisado
1.0,Creación de línea base,Yes,"May 19, 2022 2:24 PM",Pau,Rafael Hinojosa López,"May 19, 2022 2:49 PM"
1.1,Modificación a descripción a algunas actividades de las fases,Yes,"May 19, 2022 2:48 PM",Rafael Hinojosa López,Pau,"May 19, 2022 2:50 PM"
